Date,Open,High,Low,Close,Adj Close,Volume
2022-12-16,0.300207,0.301146,0.261786,0.264070,0.264070,415410448
2022-12-17,0.264024,0.267248,0.260272,0.266900,0.266900,336512356
2022-12-18,0.266926,0.270685,0.263998,0.266335,0.266335,178941855
2022-12-19,0.266348,0.269289,0.251140,0.252944,0.252944,225101432
2022-12-20,0.252961,0.261469,0.252210,0.259007,0.259007,187028227
2022-12-21,0.258994,0.259201,0.249219,0.253154,0.253154,204481179
2022-12-22,0.253158,0.256763,0.248176,0.256523,0.256523,174290867
2022-12-23,0.256541,0.262308,0.255814,0.259429,0.259429,178906111
2022-12-24,0.259427,0.260390,0.257364,0.259368,0.259368,90666010
2022-12-25,0.259371,0.259905,0.255300,0.259270,0.259270,118238326
2022-12-26,0.259293,0.265307,0.257990,0.265297,0.265297,151542330
2022-12-27,0.265306,0.265969,0.257486,0.260370,0.260370,164331309
2022-12-28,0.260384,0.260842,0.247964,0.248378,0.248378,209596269
2022-12-29,0.248380,0.248460,0.241094,0.244140,0.244140,214425739
2022-12-30,0.244126,0.245987,0.240350,0.245557,0.245557,159952057
2022-12-31,0.245577,0.251686,0.244431,0.246466,0.246466,144122815
2023-01-01,0.246414,0.249771,0.244245,0.249771,0.249771,113369989
2023-01-02,0.249778,0.255767,0.247368,0.253828,0.253828,159328803
